,iri,counts
0,http://purl.obolibrary.org/obo/UBERON_0000955,11
1,http://purl.obolibrary.org/obo/UBERON_0013702,11
2,http://purl.obolibrary.org/obo/UBERON_0002581,9
3,http://purl.obolibrary.org/obo/UBERON_0002661,6
4,http://purl.obolibrary.org/obo/UBERON_0002703,11
5,http://purl.obolibrary.org/obo/UBERON_0002813,9
6,http://purl.obolibrary.org/obo/UBERON_0035932,8
7,http://purl.obolibrary.org/obo/UBERON_0006093,4
8,http://purl.obolibrary.org/obo/UBERON_0002812,2
9,http://purl.obolibrary.org/obo/UBERON_0002740,1
