hubmap_id,ancestor,contains_renal_pyramid
HBM399.TFTQ.282,HBM645.PKCL.773,True
HBM382.HNKL.447,HBM624.DFVP.726,True
HBM797.PDPS.368,HBM482.CTJH.452,True
HBM839.TQNM.958,HBM926.GQBN.564,True
HBM773.WCXC.264,HBM847.VQKK.928,True
HBM264.RWRW.668,HBM476.XDGB.273,True
HBM992.XNZH.647,HBM683.FXCD.335,False
HBM892.MXFF.848,HBM798.XNSN.226,False
HBM224.GLDC.549,HBM998.JGQB.357,True
HBM764.ZCQR.585,HBM962.VJJD.833,True
HBM574.NFCS.842,HBM279.KNSW.786,True
HBM578.SRZG.769,HBM255.DKRV.262,True
HBM537.LTFK.379,HBM673.XMDK.355,True
HBM982.TPNQ.737,HBM267.NDTH.232,False
HBM432.BPZM.698,HBM983.KVKV.625,True
HBM375.ZKZZ.765,HBM559.FGNX.293,True
HBM892.HQDK.764,HBM578.SRZG.769,False
HBM537.GVTL.683,HBM874.WGDB.764,False
HBM932.TBDW.952,HBM839.TQNM.958,False
HBM679.ZVHH.999,HBM432.BPZM.698,False
HBM837.TDQQ.538,HBM797.PDPS.368,False
HBM724.LVHJ.956,HBM374.BXTC.899,False
HBM987.ZCTQ.736,HBM734.DSQM.939,False
HBM688.FLJB.475,HBM364.JRNL.422,False
HBM495.ZFDT.229,HBM247.GGHT.658,False
HBM537.SKND.632,HBM886.ZXXN.298,False
HBM996.XSNK.694,HBM896.WHQZ.399,False
HBM494.MQQL.234,HBM572.JLDL.664,False
HBM476.VHDB.268,HBM956.NKKJ.646,False
HBM837.HQNL.776,HBM425.MSBX.963,False
HBM994.XRGN.328,HBM826.RGXW.276,False
HBM865.TRVX.355,HBM982.TPNQ.737,False
HBM332.KQWB.454,HBM497.FKCS.478,False
HBM349.BJZL.272,HBM393.CCBZ.572,False
HBM786.HSRC.868,HBM442.SBCR.983,False
HBM532.RKTB.483,HBM264.RWRW.668,False
HBM729.RCXL.887,HBM469.MJBC.894,False
HBM944.XPFX.655,HBM835.CLRW.587,False
HBM664.LQSH.693,HBM464.KHSK.927,False
HBM799.ZJDP.379,HBM985.TJZD.778,False
HBM243.MTZV.726,HBM346.CSWK.388,False
HBM258.HQCL.349,HBM896.WHQZ.399,False
HBM938.FTRX.289,HBM382.HNKL.447,False
HBM297.XVDG.492,HBM224.GLDC.549,False
HBM252.JLSW.848,HBM226.QHVG.797,False
HBM388.SGMJ.342,HBM892.MXFF.848,False
HBM384.DLRM.527,HBM369.FCNZ.863,False
HBM697.GKCG.783,HBM876.KWMX.349,False
HBM884.TGCL.432,HBM729.HSHS.983,False
HBM958.GZCX.985,HBM929.QBMH.668,False
HBM347.MRTV.333,HBM554.DHLV.735,False
HBM692.FLDL.779,HBM375.ZKZZ.765,False
HBM844.KXXX.692,HBM874.WGDB.764,False
HBM873.NSHG.559,HBM537.VLPL.734,False
HBM243.TTRM.823,HBM764.ZCQR.585,False
HBM987.RLTF.378,HBM394.VPCK.634,False
HBM563.FJNH.776,HBM982.TTRB.258,False
HBM268.RGJT.587,HBM773.WCXC.264,False
HBM246.KBZS.276,HBM237.KGFH.483,False
HBM375.WFJK.667,HBM734.NTJP.672,False
HBM684.TLPQ.738,HBM346.CSWK.388,False
HBM552.PBBF.363,HBM929.QBMH.668,False
HBM282.BKRZ.254,HBM433.GBLD.944,False
HBM584.JCQV.788,HBM694.TNFF.778,False
HBM272.FWMV.423,HBM542.DVXG.466,False
HBM372.TFNT.572,HBM854.GCMW.458,False
HBM525.LRPL.332,HBM433.GBLD.944,False
HBM275.PDRR.759,HBM729.TFXC.825,False
HBM879.RZJJ.974,HBM733.GBWP.269,False
HBM826.VZFT.824,HBM476.PRMC.228,False
HBM634.QQWF.789,HBM226.QHVG.797,False
HBM979.KNQM.454,HBM956.NKKJ.646,False
HBM752.ZRBH.538,HBM574.NFCS.842,False
HBM427.KFXP.323,HBM237.KGFH.483,False
HBM793.QCGM.999,HBM426.HLCN.236,False
HBM297.TTGF.282,HBM689.QPMR.542,False
HBM688.LGBS.644,HBM545.PQSZ.997,False
HBM439.JPZX.574,HBM232.KNBD.954,False
HBM876.HTRX.668,HBM336.GKJN.639,False
HBM834.THPC.928,HBM364.JRNL.422,False
HBM244.FRPJ.636,HBM834.MLPZ.788,False
HBM447.KCHB.778,HBM427.RVVD.276,False
HBM393.DZDZ.972,HBM488.GXLS.689,False
HBM785.LNQZ.992,HBM992.XNZH.647,False
HBM942.NXWW.245,HBM786.LZQZ.242,False
HBM356.QPJF.839,HBM537.LTFK.379,False
HBM242.HNLH.466,HBM847.GZGD.668,False
HBM745.XMRR.874,HBM687.FWNC.555,False
HBM476.ZWMS.768,HBM399.TFTQ.282,False
HBM254.SXWG.373,HBM846.WXJK.587,False
HBM742.PSCP.565,HBM836.FPBQ.686,False
HBM843.QHNR.854,HBM793.VKVL.982,False
HBM772.WGBN.852,HBM959.QMBB.765,False
