sample_id,sample_uuid
HBM399.HRKG.458,096733e700ef7ab31bedf6bef6d5b9b2
HBM539.LXKF.934,5ae0128190e5c96a3dc3f46dd7675e97
HBM633.CHDG.392,ad3231b7dc48068b9b884f6ba967de85
HBM439.RKPP.789,4237515bdd85c238189fc4c366575bf3
HBM736.NQNZ.734,86651c9d116a80ff359fe95a9455ab8b
HBM242.XXTB.333,46f5c8d7dc8d545c540748347d20a9b7
HBM636.XRCL.997,5d53bd5a71569c59c90d1608cd3da5c9
HBM288.MHXG.854,aff08197f187418318e12cd70c9a6e3d
HBM825.KBPF.658,fed53eab5847287de706a8dafa6faf8f
HBM897.MZNC.757,173fbebb10c3af766e26b1d6c9c8d563
HBM279.ZBSM.472,6e5e5be224d88f38aa390d0c389839c7
HBM622.DQNP.599,bb2f22ab105c49476def20e47e9c1206
HBM776.MWMG.262,8d89ca0de235ede7ce756c9668c7596e
HBM495.CCMS.672,638a483d2daac131b79c4d242ac7efc3
HBM338.VMRG.486,b9ae8c019f2ce4a20e2f4b6ae7cda9af
HBM922.TCNK.538,6bd10b73ec3bb100b691b9ed3f8c4e37
HBM828.FDRM.746,678a20084899d8fae3733967a8c7bbb8
HBM664.CMGH.349,814bd0449a4b88dd432b4ad7e1ebe4f8
HBM328.HNFB.949,9727d9bc9b938a988c88ae21738e00b5
HBM267.HTHQ.426,7c911d2636459124eabc69883afe4cbc
HBM399.SZKR.526,fbb9843273bf419bfff9634878a42fef
HBM325.FMTV.343,06fd15efbba53f1bd8d1ba4ed9f55421
HBM744.DVKT.694,825e4d48c77f4b0444f1dcc3834e1a2d
HBM624.HGGF.297,7e68adff1c4ad41005fe77eb71641fa4
HBM824.SLZK.599,17b3afd0a7b2aca21ab51e72596f769b
HBM437.CVGQ.787,878fba1e9cb02481bda8e38dc243c7de
HBM497.VGSN.945,1a4319c0159c674a014d94b6ad493bb7
HBM946.WFMM.788,9f7b7b28fae00c8539bc0243df8fb207
HBM935.BPZZ.984,ab2b437444d182648bbad8aa499d0f80
HBM326.SRTD.984,6bd977affa23b9c72775f5da7bb008b3
HBM723.WVZJ.827,92292494fe566fcd19a54d27edca52f0
HBM638.GGCQ.252,e03ab23235245440a8d68e2d17d39c02
HBM733.MDFT.436,b98686d9df0b06f26fa5c4cd417331a0
HBM337.KBLS.364,6c7f7b91ee218f5bad7d8c498f7fe428
HBM973.CRMG.832,ac36bf37661605311f87c821f90d04f8
HBM784.SPZB.799,61057e570ac5cf33f8592a6bd7ccbba6
HBM245.TZHD.382,73811cc6ff2e339ce5f210b2e4e0b4d5
HBM942.QQWW.939,f2deaab37fb026044244f2cbfa87d152
HBM998.VHPF.947,248b0fd5d87bdd9368ef0a398a5ebb70
HBM892.JLHP.899,712112593e7dc4f80389c38c6ec0a4a3
HBM485.MFVF.256,fca90c1aae343dab921575f3f40d9792
HBM695.BKXQ.562,b13245e551fa45a24b170ac11b01a264
HBM996.XSFS.465,7ab3d70585473e79dc516dbebadd84b1
HBM725.PZJL.434,7525947ef401f6d2c1f8b1708a7eb2f4
HBM848.PRTH.942,2d12da4d0e33de3e1eb5a786159ca50a
HBM434.BZFM.259,1e0932bd7d6b6aa743e28332f9727b30
HBM447.SVDJ.994,d70713396f2dc6660dce41530e1ba652
HBM657.XJJJ.655,5d85b297472384ebe01ccc55f9edb3a3
HBM465.JWQL.645,9676700b170c789e5d30815f314820a2
