,sample_id,sample_uuid,sample_category,is_rui_registered,rui_location_id
0,HBM399.HRKG.458,096733e700ef7ab31bedf6bef6d5b9b2,block,True,http://purl.org/ccf/1.5/f8a20a09-a700-439b-a518-60347cd7b156
1,HBM539.LXKF.934,5ae0128190e5c96a3dc3f46dd7675e97,block,True,http://purl.org/ccf/1.5/ca4a4754-6937-4d08-9eb0-bf400492c22c
2,HBM633.CHDG.392,ad3231b7dc48068b9b884f6ba967de85,block,True,http://purl.org/ccf/1.5/25c3d20d-d856-4a22-b926-6ee9a5f4a1d4
3,HBM439.RKPP.789,4237515bdd85c238189fc4c366575bf3,block,True,http://purl.org/ccf/1.5/0cd47185-8e8a-4f56-a167-bf93de928553
4,HBM736.NQNZ.734,86651c9d116a80ff359fe95a9455ab8b,block,True,http://purl.org/ccf/1.5/09b9e49f-dd9c-4f9f-a7dc-258ac0d08530
5,HBM242.XXTB.333,46f5c8d7dc8d545c540748347d20a9b7,block,True,http://purl.org/ccf/1.5/d662fd53-e925-4921-8d8b-bc91eed1519b
6,HBM636.XRCL.997,5d53bd5a71569c59c90d1608cd3da5c9,block,True,http://purl.org/ccf/1.5/f15f5400-2ef9-45fc-bf0f-72f14d6f8f9e
7,HBM288.MHXG.854,aff08197f187418318e12cd70c9a6e3d,block,True,http://purl.org/ccf/1.5/aba1ebe3-af18-40cc-b536-b89843049ca5
8,HBM825.KBPF.658,fed53eab5847287de706a8dafa6faf8f,block,True,http://purl.org/ccf/1.5/fd4fcec2-93c3-428f-ad3a-6c7ac4196da0
9,HBM897.MZNC.757,173fbebb10c3af766e26b1d6c9c8d563,block,True,http://purl.org/ccf/1.5/594902fb-c4c1-47c3-b98e-3101b93a73e4
10,HBM279.ZBSM.472,6e5e5be224d88f38aa390d0c389839c7,block,True,http://purl.org/ccf/1.5/95190b47-b491-448a-8e9b-06d804bf2aa1
11,HBM622.DQNP.599,bb2f22ab105c49476def20e47e9c1206,block,True,http://purl.org/ccf/1.5/d51b9d67-837f-4451-a6c6-0b63c7879736
12,HBM776.MWMG.262,8d89ca0de235ede7ce756c9668c7596e,block,False,
13,HBM495.CCMS.672,638a483d2daac131b79c4d242ac7efc3,block,True,http://purl.org/ccf/1.5/527bfb3c-5cea-4131-a73a-72687feb8024
14,HBM338.VMRG.486,b9ae8c019f2ce4a20e2f4b6ae7cda9af,block,True,http://purl.org/ccf/1.5/56b136e7-40dd-477a-b5b6-9be0bb98374c
15,HBM922.TCNK.538,6bd10b73ec3bb100b691b9ed3f8c4e37,block,True,http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c
16,HBM828.FDRM.746,678a20084899d8fae3733967a8c7bbb8,block,True,http://purl.org/ccf/1.5/f4a116d7-f844-4d4a-bc8f-632151125313
17,HBM664.CMGH.349,814bd0449a4b88dd432b4ad7e1ebe4f8,block,True,http://purl.org/ccf/1.5/853a9e2c-10ba-4491-9d9d-3551c0c5f26d
18,HBM328.HNFB.949,9727d9bc9b938a988c88ae21738e00b5,block,True,http://purl.org/ccf/1.5/c8cdaa06-847b-4747-9a00-d89761cea031
19,HBM267.HTHQ.426,7c911d2636459124eabc69883afe4cbc,block,True,http://purl.org/ccf/1.5/cfa23a23-1cef-4a6f-8303-d1198e91a773
20,HBM399.SZKR.526,fbb9843273bf419bfff9634878a42fef,block,True,http://purl.org/ccf/1.5/5b4b476b-01e1-4d13-95e5-d17770f9ffa9
21,HBM325.FMTV.343,06fd15efbba53f1bd8d1ba4ed9f55421,block,True,http://purl.org/ccf/1.5/8c2283cd-667a-4fa1-9026-50e30bcfdcd1
22,HBM744.DVKT.694,825e4d48c77f4b0444f1dcc3834e1a2d,block,True,http://purl.org/ccf/1.5/3e6d37df-e4f3-4654-b06d-3a76c2e665ea
23,HBM624.HGGF.297,7e68adff1c4ad41005fe77eb71641fa4,block,True,http://purl.org/ccf/1.5/616ef33e-ebcc-4ece-b440-ca218440c8b4
24,HBM824.SLZK.599,17b3afd0a7b2aca21ab51e72596f769b,block,True,http://purl.org/ccf/1.5/642a7a93-8943-43a2-a6a6-e6b826a7c25a
25,HBM437.CVGQ.787,878fba1e9cb02481bda8e38dc243c7de,block,True,http://purl.org/ccf/1.5/840b29a9-5a04-41cc-908d-0c4fa5720366
26,HBM497.VGSN.945,1a4319c0159c674a014d94b6ad493bb7,block,True,http://purl.org/ccf/1.5/76c77da1-c978-48fe-b30b-aeff33a5d054
27,HBM946.WFMM.788,9f7b7b28fae00c8539bc0243df8fb207,block,True,http://purl.org/ccf/1.5/8af0476d-e6e6-4b55-afae-5eec8c9c1cb5
28,HBM935.BPZZ.984,ab2b437444d182648bbad8aa499d0f80,block,True,http://purl.org/ccf/1.5/3c299376-82f1-4c1f-b283-2c03cb7922e2
29,HBM326.SRTD.984,6bd977affa23b9c72775f5da7bb008b3,block,True,http://purl.org/ccf/1.5/8d3e8fa1-185d-479b-83d9-9dfe2ead2d3e
30,HBM723.WVZJ.827,92292494fe566fcd19a54d27edca52f0,block,True,http://purl.org/ccf/1.5/dcbd8b51-3a18-4025-97c1-e1867e346a18
31,HBM638.GGCQ.252,e03ab23235245440a8d68e2d17d39c02,block,True,http://purl.org/ccf/1.5/f1c3f780-6627-4c56-aada-97cb158f540d
32,HBM733.MDFT.436,b98686d9df0b06f26fa5c4cd417331a0,block,True,http://purl.org/ccf/1.5/559cb26d-2bed-41a6-8cdf-d5da5f4b52d2
33,HBM337.KBLS.364,6c7f7b91ee218f5bad7d8c498f7fe428,block,True,http://purl.org/ccf/1.5/9131c76e-62cb-4433-a216-64e9fa0450c5
34,HBM973.CRMG.832,ac36bf37661605311f87c821f90d04f8,block,True,http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73
35,HBM784.SPZB.799,61057e570ac5cf33f8592a6bd7ccbba6,block,True,http://purl.org/ccf/1.5/2243b679-6c6c-4b66-9479-fef2640f2872
36,HBM245.TZHD.382,73811cc6ff2e339ce5f210b2e4e0b4d5,block,True,http://purl.org/ccf/1.5/f98bb60c-a643-49a5-992b-c8afcea5cd2b
37,HBM942.QQWW.939,f2deaab37fb026044244f2cbfa87d152,block,True,http://purl.org/ccf/1.5/3545c186-aafd-4477-adc5-6ee21219cf87
38,HBM998.VHPF.947,248b0fd5d87bdd9368ef0a398a5ebb70,block,True,http://purl.org/ccf/1.5/4890aa9b-26a3-4db5-b25a-66e18cbc2158
39,HBM892.JLHP.899,712112593e7dc4f80389c38c6ec0a4a3,block,True,http://purl.org/ccf/1.5/d43c9047-6147-4cd1-b87d-0e075b64e4ca
40,HBM485.MFVF.256,fca90c1aae343dab921575f3f40d9792,block,True,http://purl.org/ccf/1.5/965b263e-b1b5-44c3-86ef-bb682091be05
41,HBM695.BKXQ.562,b13245e551fa45a24b170ac11b01a264,block,True,http://purl.org/ccf/1.5/74d8c134-9489-4599-afa7-95bd8cf9fc8a
42,HBM996.XSFS.465,7ab3d70585473e79dc516dbebadd84b1,block,True,http://purl.org/ccf/1.5/0f4be9aa-dfce-414f-9d40-47cb38f5eee8
43,HBM725.PZJL.434,7525947ef401f6d2c1f8b1708a7eb2f4,block,True,http://purl.org/ccf/1.5/11fcf508-762d-4f0c-b5c5-dad0cf38f4de
44,HBM848.PRTH.942,2d12da4d0e33de3e1eb5a786159ca50a,block,True,http://purl.org/ccf/1.5/95881dfc-b806-40ca-85fd-0e02d647c999
45,HBM434.BZFM.259,1e0932bd7d6b6aa743e28332f9727b30,block,True,http://purl.org/ccf/1.5/f4993f99-6746-4036-8ff3-2a954a956fe0
46,HBM447.SVDJ.994,d70713396f2dc6660dce41530e1ba652,block,True,http://purl.org/ccf/1.5/c5d8b584-d6b7-4a98-8330-a97ecec688f8
47,HBM657.XJJJ.655,5d85b297472384ebe01ccc55f9edb3a3,block,True,http://purl.org/ccf/1.5/7082a097-90bd-4cad-9b31-d12cd8f5e82c
48,HBM465.JWQL.645,9676700b170c789e5d30815f314820a2,block,True,http://purl.org/ccf/1.5/e7d21a48-63dd-45d8-aedd-e4abed52d5d8
